"","LEA_NAME","SCH_NAME","isCHARTER","PK","KG","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13","LEVEL","magnetSchoolStatus","city","MEMBER","zip","PctFreeLunch","SCH_TYPE_TEXT","TOTFRL","Census_AttainDiplomHigher","Census_LangHomeNotEnglish","Census_Pop25older","Census_TotalHouseholds","LAT","LON","AttendRate","PctProfELA","raceWHITE","raceAMERIND","raceASIAN","raceBLACK","raceHI","numberHispanic","numberTR","LEAID","aun2","NCESSCH","ST_LEAID"
"1","Haverford Township SD","Coopertown El Sch","No","-2","57","85","77","73","77","77","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bryn Mawr","446","19010","7.623318385650224","Regular School","34","31744","3930","32804","17450",40.008974,-75.328232,"96.28","86.36","371","0","18","23","17","0","17","4211670","1252345021252","421167001877","125234502"
"2","Northampton Area SD","Lehigh El Sch","No","-2","67","82","89","93","103","75","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Walnutport","509","18088","24.95088408644401","Regular School","127","27541","2082","30492","16364",40.763783,-75.535033,"96.31","72.59","473","0","3","6","26","0","1","4217370","1204849031204","421737003499","120484903"
"3","Central Columbia SD","Central Columbia El Sch","No","-2","141","125","127","140","147","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Bloomsburg","680","17815","35.588235294117645","Regular School","242","9808","513","10812","6104",41.021005,-76.365855,NA,NA,"619","2","17","10","18","0","14","4205370","1161915031161","420537007260","116191503"
"4","Pocono Mountain SD","Swiftwater Interm Sch","No","-2","-2","-2","-2","-2","260","304","312","-2","-2","-2","-2","-2","-2","-2","2","No","Swiftwater","876","18370","50.913242009132418","Regular School","446","38356","10275","42805","21387",41.100606,-75.326285,NA,NA,"544","2","14","155","160","1","0","4219500","1204554031204","421950007503","120455403"
"5","Solanco SD","Solanco HS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","299","319","276","179","-2","3","No","Quarryville","1073","17566","37.18546132339236","Regular School","399","16052","6082","20529","10960",39.866938,-76.154098,"92.86","68.84","964","1","7","29","65","0","7","4221810","1133670031133","422181002658","113367003"
"6","Wilkes-Barre Area SD","Dr David W Kistler El Sch","No","-2","141","139","141","133","138","120","141","-2","-2","-2","-2","-2","-2","-2","1","No","Wilkes Barre","953","18702","100","Regular School","953","34249","7130","39729","23215",41.240472,-75.910851,"93.68","42.38","337","0","11","218","283","0","104","4226300","1184088521184","422630006924","118408852"
"7","Central Bucks SD","Central Bucks HS-South","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","570","620","608","-2","3","No","Warrington","1798","18976","8.5094549499443808","Regular School","153","76834","10617","80091","41650",40.26255,-75.16142,"NA","NA","1569","1","119","40","47","0","22","4205310","1220921021220","420531000785","122092102"
"8","South Western SD","South Western SHS","No","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","292","327","269","308","-2","3","No","Hanover","1196","17331","29.682274247491637","Regular School","355","17537","636","19487","10296",39.787549,-76.958673,"95.45","83.83","1056","4","32","47","39","1","17","4222470","1126764031126","422247004608","112676403"
"9","Souderton Area SD","Indian Crest MS","No","-2","-2","-2","-2","-2","-2","-2","261","275","267","-2","-2","-2","-2","-2","2","No","Souderton","803","18964","28.019925280199253","Regular School","225","29640","4575","32059","16928",40.316589,-75.334936,NA,NA,"622","1","47","32","90","0","11","4221870","1234671031234","422187004721","123467103"
"10","Methacton SD","Woodland El Sch","No","-2","42","66","64","55","53","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","No","Norristown","280","19403","15.357142857142858","Regular School","43","23643","6024","24887","12277",40.136395,-75.405464,"96.58","80.33","211","0","24","5","19","0","21","4214250","1234653031234","421425005252","123465303"
