"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside.Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location.1","Premise","Total.Incidents"
"1","09/02/2017","23:30:00","3JK","4200 AUDREY AVE","ROBBERY - RESIDENCE","I","KNIFE",913,"SOUTHERN","Brooklyn",-76.60541,39.22951,"(39.2295100000, -76.6054100000)","ROW/TOWNHO",1
"2","09/02/2017","23:00:00","7A","800 NEWINGTON AVE","AUTO THEFT","O","",133,"CENTRAL","Reservoir Hill",-76.63217,39.3136,"(39.3136000000, -76.6321700000)","STREET",1
"3","09/02/2017","22:53:00","9S","600 RADNOR AV","SHOOTING","Outside","FIREARM",524,"NORTHERN","Winston-Govans",-76.60697,39.34768,"(39.3476800000, -76.6069700000)","Street",1
"4","09/02/2017","22:50:00","4C","1800 RAMSAY ST","AGG. ASSAULT","I","OTHER",934,"SOUTHERN","Carrollton Ridge",-76.64526,39.28315,"(39.2831500000, -76.6452600000)","ROW/TOWNHO",1
"5","09/02/2017","22:31:00","4E","100 LIGHT ST","COMMON ASSAULT","O","HANDS",113,"CENTRAL","Downtown West",-76.61365,39.28756,"(39.2875600000, -76.6136500000)","STREET",1
"6","09/02/2017","22:00:00","5A","CHERRYCREST RD","BURGLARY","I","",922,"SOUTHERN","Cherry Hill",-76.62131,39.24867,"(39.2486700000, -76.6213100000)","ROW/TOWNHO",1
"7","09/02/2017","21:15:00","1F","3400 HARMONY CT","HOMICIDE","Outside","FIREARM",232,"SOUTHEASTERN","Canton",-76.56827,39.28202,"(39.2820200000, -76.5682700000)","Street",1
"8","09/02/2017","21:35:00","3B","400 W LANVALE ST","ROBBERY - STREET","O","",123,"CENTRAL","Upton",-76.62789,39.30254,"(39.3025400000, -76.6278900000)","STREET",1
"9","09/02/2017","21:00:00","4C","2300 LYNDHURST AVE","AGG. ASSAULT","O","OTHER",641,"NORTHWESTERN","Windsor Hills",-76.68365,39.3137,"(39.3137000000, -76.6836500000)","STREET",1
"10","09/02/2017","21:00:00","4E","1200 N ELLWOOD AVE","COMMON ASSAULT","I","HANDS",332,"EASTERN","Berea",-76.57419,39.30551,"(39.3055100000, -76.5741900000)","ROW/TOWNHO",1
"11","09/02/2017","21:00:00","4C","2300 LYNDHURST AVE","AGG. ASSAULT","O","OTHER",641,"NORTHWESTERN","Windsor Hills",-76.68365,39.3137,"(39.3137000000, -76.6836500000)","STREET",1
